Title,Rating,Body,Review_Text,Sentiment,word_count,char_count,exclam_count,ques_count
Horrible product,1,Very disappointed with the overall performance from Samsung,Very disappointed with the overall performance from Samsung,Negative,8,59,0,0
Camera quality is not like 48 megapixel,3,Camera quality is low,Camera quality is low,Neutral,4,21,0,0
Overall,4,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying","Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",Positive,66,403,0,1
A big no from me,1,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.","1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",Negative,67,377,0,0
Put your money somewhere else,1,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE","Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",Negative,29,179,0,0
Too much lagging and slow,1,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,Negative,18,102,0,0
Worst samsung mobile ever,1,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,Negative,33,179,0,0
कैसा दिखाते है उसका 10 % भी नही,1,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,Negative,29,135,0,0
Slow performance,1,The phone hangs a lot and is very slow. I received a replacement which continues to hang,The phone hangs a lot and is very slow. I received a replacement which continues to hang,Negative,17,88,0,0
Don’t buy from Amazon.,1,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,Negative,28,187,0,0
Worst camera quality,1,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.","Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",Negative,34,201,0,0
No 5Ghz wifi band,1,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy","No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",Negative,30,146,0,0
Cheated,1,Don't received  handset ejection  pin  and manual.,Don't received  handset ejection  pin  and manual.,Negative,7,50,0,0
Dont buy samsung m12 mobile,1,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,Negative,22,147,0,0
Good one in this price segment.,5,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,Positive,42,229,0,0
Hitting issue,1,Hitting issue,Hitting issue,Negative,2,13,0,0
Worst product with cheap quality material.,1,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,Negative,72,434,0,0
Below average,1,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.","Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",Negative,52,294,0,0
"RUBBISH PHONE, WANT MY MONEY BACK",1,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK","PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",Negative,40,241,0,0
Perfect phone with this price,5,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.","This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",Positive,26,153,0,0
Not recommended for Jiofiber users,1,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.","Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",Negative,66,420,0,0
Very poor performance,1,Dislike,Dislike,Negative,1,7,0,0
Very bad self camera,1,Self camera is just like 2 mega pixels.,Self camera is just like 2 mega pixels.,Negative,8,39,0,0
Not a good budget phone,2,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..","Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",Negative,28,189,0,0
Samsung UI/UX is the worst,1,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.","The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",Negative,70,394,0,0
Poor from Samsung,1,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,Negative,50,242,0,0
Horrible product from samsung,1,Horrible product,Horrible product,Negative,2,16,0,0
Disappointed,1,"Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.","Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",Negative,49,307,0,0
Worst camera,1,Camera is very poor.. though they mentioned 48mp but it looks like 13mp,Camera is very poor.. though they mentioned 48mp but it looks like 13mp,Negative,13,71,0,0
Everything is just lit at this price🔥 . No complains about anything,5,"It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.","It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.",Positive,63,376,0,0
Go For It,4,I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this,I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this,Positive,97,520,2,0
Just a PowerBank with 12 mp camera attached.,1,Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...,Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...,Negative,89,495,0,0
"Disappointed with mobile, Gpay & PhonePay app has issue",1,"Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.","Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.",Negative,79,474,0,0
PHONE NOT UPTO THE MARK,2,"The phone is good looking, but it doesn't support the 5G wifi due to which the downloading speed is very limited2ndly the camera is not uptonthe mark . 48 MP is around 18 MP3rd. THE PHONE takes hell lot of time to get charged .No handsfree in the box","The phone is good looking, but it doesn't support the 5G wifi due to which the downloading speed is very limited2ndly the camera is not uptonthe mark . 48 MP is around 18 MP3rd. THE PHONE takes hell lot of time to get charged .No handsfree in the box",Negative,49,250,0,0
This is my honest opinion,4,"Changing my review on this device after 2 month usage .  I finally have to say that this is the bang for the buck .Awesome battery life , and that's what I want . I am just using it for basic social media and calls .. rest of my heavy work is done on my primary device .CAMERA is average , My ipad's 5 MP camera shoots better than the so called ""true"" 48MP.My advice-- go for 6gb variant as 2.5 gb is acquired by the system .Overall - 4☆","Changing my review on this device after 2 month usage .  I finally have to say that this is the bang for the buck .Awesome battery life , and that's what I want . I am just using it for basic social media and calls .. rest of my heavy work is done on my primary device .CAMERA is average , My ipad's 5 MP camera shoots better than the so called ""true"" 48MP.My advice-- go for 6gb variant as 2.5 gb is acquired by the system .Overall - 4☆",Positive,90,437,0,0
Total waste of mo ey better a12 but its also not good btter than this,1,Heating issueCamera dam 👎 so badSensors issuesUsb isuueDisplay so bad its look like old phone not today's  generation  displayAmazone need to improve software  for check device  and all i think its not goodHeating isueee in phone phone take to much time for chargingSome time rear camera not work properly  for scan qr code and barcodeOverall phone like to throw in dustbin 🗑I don't  expect  product like this from samsung its to bad  experience  from samsung and amazone also im so sad for this review  but i have to do for everyone 😔 so pls don't  buy this product,Heating issueCamera dam 👎 so badSensors issuesUsb isuueDisplay so bad its look like old phone not today's  generation  displayAmazone need to improve software  for check device  and all i think its not goodHeating isueee in phone phone take to much time for chargingSome time rear camera not work properly  for scan qr code and barcodeOverall phone like to throw in dustbin 🗑I don't  expect  product like this from samsung its to bad  experience  from samsung and amazone also im so sad for this review  but i have to do for everyone 😔 so pls don't  buy this product,Negative,98,566,0,0
Regrettable purchase,1,"They have conveniently skipped mentioning it is not an amoled display while mentioning 90 Hz refresh rate. Touch response is faulty on these phones and SAR value is high despite having exynos processor, which also they have conveniently skipped mentioning.","They have conveniently skipped mentioning it is not an amoled display while mentioning 90 Hz refresh rate. Touch response is faulty on these phones and SAR value is high despite having exynos processor, which also they have conveniently skipped mentioning.",Negative,40,256,0,0
